track_title,album,release_year,song_id,genius_url,source_artist,target_artist,role
2010 BET Hip Hop Awards - Cypher 5,,2010.0,1522,https://genius.com/Bet-2010-bet-hip-hop-awards-cypher-5-lyrics,BET,Kanye West,featured
2010 BET Hip Hop Awards - Cypher 5,,2010.0,1522,https://genius.com/Bet-2010-bet-hip-hop-awards-cypher-5-lyrics,BET,Pusha T,featured
2010 BET Hip Hop Awards - Cypher 5,,2010.0,1522,https://genius.com/Bet-2010-bet-hip-hop-awards-cypher-5-lyrics,BET,Big Sean,featured
2010 BET Hip Hop Awards - Cypher 5,,2010.0,1522,https://genius.com/Bet-2010-bet-hip-hop-awards-cypher-5-lyrics,BET,CyHi,featured
2010 BET Hip Hop Awards - Cypher 5,,2010.0,1522,https://genius.com/Bet-2010-bet-hip-hop-awards-cypher-5-lyrics,BET,Common,featured
2011 BET Hip Hop Awards - Maybach Music Group Cypher,,2011.0,57118,https://genius.com/Bet-2011-bet-hip-hop-awards-maybach-music-group-cypher-lyrics,BET,Wale,featured
2011 BET Hip Hop Awards - Maybach Music Group Cypher,,2011.0,57118,https://genius.com/Bet-2011-bet-hip-hop-awards-maybach-music-group-cypher-lyrics,BET,Meek Mill,featured
2011 BET Hip Hop Awards - Maybach Music Group Cypher,,2011.0,57118,https://genius.com/Bet-2011-bet-hip-hop-awards-maybach-music-group-cypher-lyrics,BET,Rick Ross,featured
2012 (You Must Be Upgraded),,2012.0,596932,https://genius.com/The-flaming-lips-2012-you-must-be-upgraded-lyrics,The Flaming Lips,HOTT MT,featured
2012 (You Must Be Upgraded),,2012.0,596932,https://genius.com/The-flaming-lips-2012-you-must-be-upgraded-lyrics,The Flaming Lips,Kesha,featured
2012 (You Must Be Upgraded),,2012.0,596932,https://genius.com/The-flaming-lips-2012-you-must-be-upgraded-lyrics,The Flaming Lips,Biz Markie,featured
2013 BET Hip Hop Awards - Cypher 3,,2013.0,239736,https://genius.com/Bet-2013-bet-hip-hop-awards-cypher-3-lyrics,BET,Travis Scott,featured
2013 Jimmy Kimmel Interview (Part 1),,2013.0,235515,https://genius.com/Kanye-west-2013-jimmy-kimmel-interview-part-1-annotated,Kanye West,Jimmy Kimmel,featured
2013 Jimmy Kimmel Interview (Part 2),,2013.0,235522,https://genius.com/Kanye-west-2013-jimmy-kimmel-interview-part-2-annotated,Kanye West,Jimmy Kimmel,featured
